city,temp_C,humidity,wind_speed,timestamp
Colombo,27.4,85,3.85,2025-06-27 22:52:53.863665
Kandy,22.04,84,1.43,2025-06-27 22:52:53.863665
Galle,27.32,86,4.15,2025-06-27 22:52:53.863665
Colombo,27.4,85,3.85,2025-06-27 22:56:27.595721
Kandy,22.04,84,1.43,2025-06-27 22:56:27.595721
Galle,27.32,86,4.15,2025-06-27 22:56:27.595721
Colombo,27.4,85,3.85,2025-06-27 23:03:07.418990
Kandy,22.04,84,1.43,2025-06-27 23:03:07.418990
Galle,27.32,86,4.15,2025-06-27 23:03:07.418990
Colombo,27.4,85,3.85,2025-06-27 23:03:52.535390
Kandy,22.04,84,1.43,2025-06-27 23:03:52.535390
Galle,27.32,86,4.15,2025-06-27 23:03:52.535390
Colombo,27.4,85,3.85,2025-06-27 23:07:05.447324
Kandy,22.04,84,1.43,2025-06-27 23:07:05.447324
Galle,27.32,86,4.15,2025-06-27 23:07:05.447324
